date,close,open,high,low,volume,NASDAQ,NYSE,SP500,FTSE100,NIKKEI225,BSE,RUSSELL2000,HENG SENG,SSE,Oil,gold,VIX,Dollar,AMAZON,Google,microsoft,Sentiment
2012-11-21,24.32,23.22,24.53,23.05,89860000.0,2926.6,8112.2,1391.03,5752.03,9222.52,18460.38,798.38,21524.36,2030.32,87.38,171.31,15.31,80.93,238.03,333.26,26.95,0.9231549501419068
2012-11-23,24.0,24.58,24.68,23.88,29520000.0,2966.9,8225.5,1409.15,5819.14,,18506.57,807.18,21913.98,2027.38,88.28,174.34,15.14,80.19,239.88,334.31,27.7,
2012-11-26,25.94,24.93,26.09,24.81,123860000.0,2976.8,8197.6,1406.29,5786.72,9388.94,18537.01,809.02,21861.81,2017.46,87.74,173.99,15.5,80.25,243.62,330.9,27.39,0.6848297715187073
2012-11-27,26.15,26.04,26.5,25.46,85760000.0,2967.8,8150.8,1398.94,5799.71,9423.3,18842.08,807.74,21844.03,1991.17,87.18,170.2,15.92,80.4,243.4,335.68,27.08,0.4105254560709
2012-11-28,26.36,25.94,26.49,25.75,49210000.0,2991.8,8207.4,1409.93,5803.28,9308.35,,813.5,21708.98,1973.52,86.49,171.39,15.51,80.34,247.11,342.17,27.36,0.2767936587333679
2012-11-29,27.32,26.5,27.52,26.16,88760000.0,3012.0,8256.1,1415.95,5870.3,9400.88,19170.91,823.2,21922.89,1963.49,88.07,171.85,15.06,80.2,251.27,346.28,26.95,0.15527183935046196
2012-11-30,28.0,27.26,28.0,26.76,127050000.0,3010.2,8260.4,1416.18,5866.82,9446.01,19339.9,821.92,22030.39,1980.12,88.91,170.2,15.87,80.15,252.05,349.52,26.61,-0.5062210410833359
2012-12-03,27.04,28.0,28.88,26.98,123530000.0,3002.2,8223.5,1409.46,5871.24,9458.18,19305.32,820.8,21767.85,1959.77,89.09,166.85,16.64,79.88,250.33,347.96,26.43,0.025331471115350723
2012-12-04,27.46,27.06,27.76,26.68,72910000.0,2996.7,8223.9,1407.05,5869.04,9432.46,19348.12,822.12,21799.97,1975.14,88.5,166.97,17.12,79.64,252.49,345.85,26.37,0.3301817824443181
2012-12-05,27.71,27.75,27.9,27.26,58970000.0,2973.7,8264.8,1409.28,5892.08,9468.84,19391.86,820.6,22270.91,2031.91,87.88,160.39,16.46,79.77,253.96,344.24,26.67,0.03448047861456871
2012-12-06,26.97,27.68,27.75,26.82,46000000.0,2989.3,8280.9,1413.94,5901.42,9545.16,19486.8,821.79,22249.81,2029.24,86.26,160.62,16.58,80.26,253.37,345.9,26.73,0.6339769661426544
